ID;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;RATIO;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
1;24;2;2;-1;-1;-2;-2;0,1956;0;689;0;0;0;0;1
2;26;-1;2;0;0;0;2;0,0287;0;1000;1000;1000;0;2000;1
3;34;0;0;0;0;0;0;0,3248;1518;1500;1000;1000;1000;5000;0
4;37;0;0;0;0;0;0;0,9858;2000;2019;1200;1100;1069;1000;0
5;57;-1;0;-1;0;0;0;0,7167;2000;36681;10000;9000;689;679;0
6;37;0;0;0;0;0;0;1,288;2500;1815;657;1000;1000;800;0
7;29;0;0;0;0;0;0;1,0853;55000;40000;38000;20239;13750;13770;0
8;23;0;-1;-1;0;0;-1;0,1187;380;601;0;581;1687;1542;0
9;28;0;0;2;0;0;0;0,1006;3329;0;432;1000;1000;1000;0
10;35;-2;-2;-2;-2;-1;-1;0,6956;0;0;0;13007;1122;0;0
11;34;0;0;2;0;0;-1;0,0553;2306;12;50;300;3738;66;0
12;51;-1;-1;-1;-1;-1;2;0,0857;21818;9966;8583;22301;0;3640;0
13;41;-1;0;-1;-1;-1;-1;0,0192;1000;6500;6500;6500;2870;0;0
14;30;1;2;2;0;0;2;0,9624;3200;0;3000;3000;1500;0;1
15;29;0;0;0;0;0;0;0,2835;3000;3000;3000;3000;3000;3000;0
16;23;1;2;0;0;0;0;1,0122;0;1500;1100;1200;1300;1100;0
17;24;0;0;2;2;2;2;0,9552;3200;0;1500;0;1650;0;1
18;49;0;0;0;-1;-1;-1;0,7915;10358;10000;75940;20000;195599;50000;0
19;49;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
20;29;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
21;39;0;0;0;0;0;-1;0,295;3000;1537;1000;2000;930;33764;0
22;39;-1;-1;-1;-1;-1;-1;0,0052;316;316;0;632;316;0;1
23;26;2;0;0;2;2;2;0,67;2007;3582;0;3601;0;1820;1
24;40;-2;-2;-2;-2;-2;-2;0,0431;19428;1473;560;0;0;1128;1
25;23;0;0;0;-1;0;0;0,0921;5757;0;5398;1200;2045;2000;0
26;23;0;0;0;0;0;0;0,9524;1973;1426;1001;1432;1062;997;0
27;27;1;-2;-1;-1;-1;-1;0,0043;0;1000;0;500;0;1000;1
28;30;0;0;0;0;0;0;0,4508;1300;1300;1000;1500;1000;1012;0
29;47;-1;-1;-1;-1;-1;-1;0,6086;3415;3421;2044;30430;257;0;0
30;26;0;0;0;0;0;0;0,3675;1500;1500;1000;1000;1600;0;0
31;27;-1;-1;-1;-1;-1;-1;0,1605;17270;13281;15339;14307;37292;0;0
32;33;2;0;0;0;0;0;0,6103;1718;1500;1000;1000;1000;716;1
33;32;0;0;0;0;0;0;0,9303;3023;3511;3302;3204;3200;2504;0
34;54;-2;-2;-2;-2;-2;-2;0,1428;4152;22827;7521;71439;981;51582;0
35;58;-2;-2;-2;-2;-2;-2;0,0622;5006;31178;3180;0;5293;768;0
36;30;-1;-1;-2;-2;-2;-1;0,1891;131;396;396;565;792;0;0
37;40;0;0;0;0;0;0;0,666;8026;8060;6300;6400;6400;6737;0
38;22;0;0;0;0;0;-1;0,311;1500;1518;2043;0;47671;617;0
39;25;1;-1;-1;-2;-2;-2;0,0156;780;0;0;0;0;0;1
40;31;-1;-1;2;-1;0;-1;0,0642;9075;0;9976;8000;9525;781;0
41;33;0;0;0;0;0;0;1,7463;10000;7000;6000;188840;28000;4000;0
42;25;0;0;0;0;0;0;0,9645;3000;4500;4042;2500;2800;2500;0
43;22;0;0;0;0;0;0;0,6003;1500;2927;1000;300;1000;500;0
44;37;0;0;0;0;0;0;0,4985;3000;3000;3000;4000;4000;3000;0
45;30;0;0;0;2;0;0;0,7299;3000;5000;0;2000;3000;0;0
46;29;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
47;22;0;0;2;-1;0;0;0,8337;3000;0;16741;334;0;0;1
48;46;0;0;-1;0;0;-2;0,0297;1013;1170;0;0;0;0;1
49;32;-1;-1;-1;-1;-1;-1;0,0842;21540;15138;24677;11851;11875;8251;0
50;24;0;0;0;0;0;0;1,024;1318;1315;704;928;912;1069;0
51;42;1;2;2;2;2;0;0,5631;0;3100;2000;0;1500;1500;1
52;43;0;0;0;0;0;0;0,6155;2000;1606;1500;2000;1500;1000;0
53;49;-2;-2;-2;-2;-2;-2;0,0434;7875;7600;11185;3544;464;0;0
54;25;1;2;0;0;0;0;0,2517;1300;2010;1762;1762;1790;1622;0
55;29;2;0;0;0;0;0;0,3081;1600;1718;1049;1500;2000;5000;0
56;45;-2;-2;-2;-2;-2;-2;0,0072;3640;162;0;151;2530;0;0
57;34;0;0;0;-1;-1;-1;0,091;8500;1500;7500;679;9000;2000;0
58;34;0;0;0;0;0;0;0,9771;8083;7296;5253;4814;4816;3800;0
59;34;-1;3;2;2;2;2;0,0079;0;0;700;0;1200;0;0
60;29;0;0;0;0;0;0;1,0105;17000;15029;30000;12000;12000;23000;0
61;28;0;0;0;0;0;0;0,0472;1516;1300;1000;1000;2000;2000;1
62;39;0;0;0;0;0;-1;1,0294;4025;2095;1000;2000;3000;0;0
63;29;2;2;2;2;2;2;0,5652;0;2700;0;2225;1200;0;1
64;46;0;0;0;-2;-2;-2;0,5833;1000;0;0;0;0;0;1
65;51;-1;-1;-2;-2;-1;-1;0,0181;0;0;0;2353;0;0;0
66;57;-2;-2;-2;-1;2;2;0,7625;0;0;8222;300;0;1000;1
67;56;2;2;2;0;0;0;0,4326;2300;0;150;200;200;160;1
68;30;2;-1;-1;-1;-1;-1;0,0202;300;1159;2280;300;4250;909;0
69;29;1;-2;-2;-1;2;-1;0,0793;0;0;20161;0;7319;13899;0
70;22;2;0;0;0;0;0;0,9282;0;1200;1000;500;1000;0;0
71;31;-1;-1;-1;-1;-1;-1;0,0097;0;390;390;390;390;390;0
72;29;2;2;2;2;2;2;0,1985;2500;2500;0;4800;2400;1600;1
73;32;-1;-1;-1;-1;2;-1;0,0453;5818;15;9102;17;3165;1395;0
74;37;1;-2;-1;-1;-1;-1;0,0108;0;3155;0;2359;0;0;0
75;32;-1;-1;-1;-1;-1;-1;0,2357;5713;23453;4314;80552;25949;2016;0
76;24;0;0;2;0;0;0;0,9271;2850;0;610;630;1500;0;0
77;25;-1;0;0;0;0;0;0,8567;1759;1779;320;500;1000;1000;0
78;45;-1;-1;-1;-1;-1;-1;0,0009;291;291;291;291;291;291;0
79;22;0;0;0;0;0;0;1,0108;1686;1400;560;3000;1765;0;1
