ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;default.payment.next.month
44;140000;2;2;1;37;0
44;140000;2;2;1;37;0
44;140000;2;2;1;37;0
44;140000;2;2;1;37;0
44;140000;2;2;1;37;0
98;150000;1;1;2;27;0
98;150000;1;1;2;27;0
98;150000;1;1;2;27;0
98;150000;1;1;2;27;0
98;150000;1;1;2;27;0
109;130000;1;2;2;38;0
109;130000;1;2;2;38;0
109;130000;1;2;2;38;0
109;130000;1;2;2;38;0
109;130000;1;2;2;38;0
2008;340000;1;1;1;49;0
2008;340000;1;1;1;49;0
2008;340000;1;1;1;49;0
2008;340000;1;1;1;49;0
2008;340000;1;1;1;49;0
2379;60000;1;2;2;30;1
2379;60000;1;2;2;30;1
2379;60000;1;2;2;30;1
2379;60000;1;2;2;30;1
2379;60000;1;2;2;30;1
4861;210000;1;2;1;41;1
4861;210000;1;2;1;41;1
4861;210000;1;2;1;41;1
4861;210000;1;2;1;41;1
4861;210000;1;2;1;41;1
5568;100000;2;3;2;48;0
5568;100000;2;3;2;48;0
5568;100000;2;3;2;48;0
5568;100000;2;3;2;48;0
5568;100000;2;3;2;48;0
9033;170000;2;1;2;25;0
9033;170000;2;1;2;25;0
9033;170000;2;1;2;25;0
9033;170000;2;1;2;25;0
9033;170000;2;1;2;25;0
18673;20000;2;1;2;23;1
18673;20000;2;1;2;23;1
18673;20000;2;1;2;23;1
18673;20000;2;1;2;23;1
18673;20000;2;1;2;23;1
22964;250000;2;2;2;36;0
22964;250000;2;2;2;36;0
22964;250000;2;2;2;36;0
22964;250000;2;2;2;36;0
22964;250000;2;2;2;36;0
4861;210000;1;2;1;33;1
4861;252000;1;2;1;41;1
4861;210000;1;3;1;41;1
4861;210000;1;2;3;41;1
4861;210000;2;2;1;41;1
5568;100000;2;3;2;38;0
5568;120000;2;3;2;48;0
5568;100000;2;0;2;48;0
5568;100000;2;3;0;48;0
5568;100000;2;3;2;48;0
9033;170000;2;1;2;20;0
9033;204000;2;1;2;25;0
9033;170000;2;6;2;25;0
9033;170000;2;1;1;25;0
9033;170000;1;1;2;25;0
18673;20000;2;1;2;18;1
18673;24000;2;1;2;23;1
18673;20000;2;4;2;23;1
18673;20000;2;1;3;23;1
18673;20000;2;1;2;23;1
22964;250000;2;2;2;29;0
22964;300000;2;2;2;36;0
22964;250000;2;5;2;36;0
22964;250000;2;2;1;36;0
22964;250000;1;2;2;36;0
