ID;LIMIT_BAL;AGE;ALWAYS_DULY;NEVER_DULY;EVER_DELAYED;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
44;140000;37;1;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;1;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;1;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;1;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;1;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
98;150000;27;1;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;1;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;1;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;1;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;1;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
109;130000;38;1;0;0;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;1;0;0;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;1;0;0;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;1;0;0;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;1;0;0;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
2008;340000;49;0;0;1;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;0;0;1;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;0;0;1;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;0;0;1;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;0;0;1;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2379;60000;30;0;0;1;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
2379;60000;30;0;0;1;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
2379;60000;30;0;0;1;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
2379;60000;30;0;0;1;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
2379;60000;30;0;0;1;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
4861;210000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
22964;250000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
4861;210000;49;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;70164;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;252000;41;0;1;0;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;72301;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;210000;41;0;1;0;87705;90376;108824;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
5568;100000;58;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;1938;894;0;0;1639;923;894;0;0;1639;923;0;0
